iter	MAE
0	1.015715366
1	1.011069089
2	1.006853466
3	1.002804863
4	0.9992479733
5	0.9962297754
6	0.99233006
7	0.9887937531
8	0.9851171511
9	0.9825568894
10	0.9797262571
11	0.9775056529
12	0.9747262978
13	0.9724790804
14	0.9698488155
15	0.9675981703
16	0.9658705026
17	0.9639145788
18	0.9620658039
19	0.9604591121
20	0.9586577036
21	0.9572341577
22	0.9559008657
23	0.9546324714
24	0.9532377986
25	0.9522654469
26	0.9512269239
27	0.950401932
28	0.9494968166
29	0.9487974465
30	0.9477546172
31	0.9470907625
32	0.9463379274
33	0.9457468955
34	0.9453114011
35	0.9447865893
36	0.9443218749
37	0.9437220283
38	0.9431206025
39	0.9427349638
40	0.9422423178
41	0.9417052933
42	0.9414055149
43	0.9411121102
44	0.9407450353
45	0.9404431969
46	0.940007596
47	0.9398267953
48	0.9395199282
49	0.9393671369
50	0.9389822957
51	0.9385244195
52	0.9381456441
53	0.9376176425
54	0.9375189441
55	0.9374132369
56	0.9370676591
57	0.9367012013
58	0.9363036614
59	0.9359929228
60	0.9357013075
61	0.9355571221
62	0.9352655795
63	0.9349447367
64	0.9347959192
65	0.9346751812
66	0.9343238646
67	0.934241002
68	0.9340620704
69	0.9339290242
70	0.9336637434
71	0.9335995576
72	0.933348997
73	0.9331344809
74	0.9328964557
75	0.9327670171
76	0.9326447998
77	0.9324506326
78	0.9322985625
79	0.9321718597
80	0.9320607896
81	0.9319652323
82	0.93187941
83	0.931769169
84	0.9317194939
85	0.9316645377
86	0.9315581788
87	0.9314330906
88	0.9311791482
89	0.9311232376
90	0.9310779474
91	0.9309739153
92	0.9308398229
93	0.9307456234
94	0.9307014856
95	0.9306339715
96	0.9305458936
97	0.9304876651
98	0.9303804524
99	0.9303078186
100	0.9302264826
101	0.9301273582
102	0.93010628
103	0.9299663252
104	0.9299434776
105	0.9298989172
106	0.9297573125
107	0.929682354
108	0.9296028595
109	0.9295381305
110	0.9294318162
111	0.9294000087
112	0.9292810805
113	0.9291823853
114	0.9290727494
115	0.9290079802
116	0.9289470822
117	0.9288431533
118	0.9287054448
119	0.9286359831
120	0.928559245
121	0.9285270261
122	0.9284544723
123	0.9283382015
124	0.9282652427
125	0.9282103108
126	0.928161464
127	0.928099
128	0.92806694
129	0.9280272646
130	0.9279968321
131	0.927981761
132	0.9279226787
133	0.9278328743
134	0.9277559481
135	0.9277233613
136	0.9276404318
137	0.9275975156
138	0.9275748266
139	0.9275374889
140	0.9275020332
141	0.9274216697
142	0.9272598068
143	0.9272348135
144	0.9271949737
145	0.927162942
146	0.9270984545
147	0.9270596138
148	0.9270101189
149	0.9269134606
150	0.9268761583
151	0.9268515445
152	0.9267258595
153	0.9266506479
154	0.9265051156
155	0.9264566277
156	0.9264324979
157	0.9264183212
158	0.9262693608
159	0.9261983137
160	0.9261032845
161	0.9259581532
162	0.925933945
163	0.9258552169
164	0.9258313762
165	0.9257180659
166	0.9256688083
167	0.9256333006
168	0.9256043741
169	0.9255125597
170	0.9254604513
171	0.9253497925
172	0.925333457
173	0.9253157989
174	0.9252316726
175	0.9251675868
176	0.9251490956
177	0.9251136132
178	0.925076182
179	0.9250541475
180	0.9250487529
181	0.9250066772
182	0.9249652641
183	0.9248945068
184	0.9248580636
185	0.9247127279
186	0.9246073858
187	0.9245803102
188	0.9245460802
189	0.9245154951
190	0.9244469591
191	0.9244052041
192	0.924365716
193	0.9243363743
194	0.9243026552
195	0.9242758744
196	0.9242071264
197	0.9241173783
198	0.9240904925
199	0.9240860849
200	0.9240417716
201	0.9240108407
202	0.9236871231
203	0.9236641405
204	0.9235963173
205	0.923577638
206	0.9235611133
207	0.9235359978
208	0.9234504506
209	0.9233780095
210	0.923299255
211	0.9232527534
212	0.9232218033
213	0.9231871935
214	0.9231770053
215	0.9231686743
216	0.9231130425
217	0.9229783831
218	0.9229401793
219	0.9228792062
220	0.922856975
221	0.922827553
222	0.9227969423
223	0.9227634615
224	0.9226905956
225	0.9226191136
226	0.9224850296
227	0.9224712168
228	0.9224122447
229	0.9223514028
230	0.9223010454
231	0.9222711875
232	0.9222258698
233	0.9221875729
234	0.9221771227
235	0.922148341
236	0.9221204901
237	0.9220995388
238	0.9220117402
239	0.9219865877
240	0.9219024882
241	0.9218850799
242	0.9218771267
243	0.9217106163
244	0.9216821291
245	0.9215336975
246	0.9214008997
247	0.9213939619
248	0.9213893795
249	0.9212976874
250	0.9212244676
251	0.9211563069
252	0.9211343546
253	0.9211201194
254	0.9210845568
255	0.9210717427
256	0.9210511824
257	0.9209558571
258	0.9209211223
259	0.9209033488
260	0.9208269927
261	0.9208100166
262	0.9207339738
263	0.9207198219
264	0.9205590586
265	0.9205384249
266	0.9204538811
267	0.9203810555
268	0.9203610691
269	0.9203344023
270	0.9202961372
271	0.9202505718
272	0.9202176003
273	0.9201962028
274	0.920182107
275	0.920169618
276	0.9201607102
277	0.920144027
278	0.9201110228
279	0.9200894661
280	0.92006585
281	0.9199638744
282	0.9199320407
283	0.91990347
284	0.919880692
285	0.9198567476
286	0.9197872627
287	0.9197646842
288	0.919729352
289	0.9196730482
290	0.9196004204
291	0.9195359378
292	0.9195244403
293	0.9194494123
294	0.9194356872
295	0.9194104109
296	0.9191699061
297	0.919091168
298	0.9190749485
299	0.9190503813
