iter	Passed	Remaining
0	390	155636
1	652	129846
2	912	120754
3	1144	113308
4	1350	106692
5	1559	102421
6	1873	105157
7	2104	103137
8	2331	101294
9	2561	99891
10	2772	98029
11	2996	96901
12	3200	95278
13	3428	94537
14	3709	95220
15	3978	95492
16	4235	95415
17	4414	93683
18	4612	92494
19	4831	91804
20	5033	90834
21	5220	89702
22	5397	88465
23	5636	88305
24	5832	87487
25	6000	86308
26	6150	84971
27	6310	83839
28	6497	83125
29	6688	82488
30	6856	81618
31	7135	82055
32	7435	82693
33	7677	82645
34	7906	82450
35	8253	83447
36	8562	84008
37	8796	83798
38	8999	83303
39	9208	82873
40	9451	82758
41	9703	82713
42	10285	85393
43	11138	90121
44	11463	90437
45	11702	90056
46	11961	89836
47	12193	89418
48	12392	88767
49	12589	88123
50	12771	87398
51	12955	86702
52	13157	86141
53	13345	85512
54	13543	84955
55	13743	84422
56	13944	83912
57	14191	83683
58	14437	83443
59	15079	85451
60	15447	85847
61	15685	85511
62	15875	84919
63	16088	84465
64	17204	88669
65	18329	92760
66	18832	93599
67	19203	93759
68	19433	93226
69	19730	93016
70	20023	92787
71	20353	92722
72	20727	92847
73	21201	93403
74	21583	93529
75	21911	93410
76	22316	93615
77	22617	93369
78	22936	93199
79	23328	93314
80	23691	93303
81	24038	93220
82	24509	93610
83	25140	94575
84	25567	94750
85	25873	94468
86	26158	94109
87	26441	93748
88	26799	93648
89	27234	93808
90	27552	93556
91	27927	93497
92	28279	93351
93	28680	93365
94	29073	93340
95	29444	93240
96	29757	92954
97	30031	92545
98	30339	92244
99	31065	93196
100	31470	93165
101	31816	92954
102	32071	92477
103	32299	91929
104	32518	91360
105	32766	90880
106	33021	90422
107	33294	90019
108	33528	89511
109	33807	89128
110	34127	88854
111	34435	88548
112	34852	88519
113	35443	88920
114	35760	88624
115	36055	88273
116	36364	87958
117	36648	87583
118	36975	87311
119	37287	87005
120	37618	86740
121	37926	86422
122	38328	86318
123	38720	86184
124	39140	86108
125	39475	85843
126	39740	85425
127	40031	85066
128	40329	84722
129	40706	84544
130	41069	84333
131	41468	84194
132	41781	83877
133	42098	83569
134	42414	83257
135	42710	82908
136	43020	82586
137	43349	82301
138	43710	82074
139	44190	82067
140	44524	81786
141	44805	81407
142	45114	81080
143	45374	80666
144	45705	80378
145	46038	80095
146	46388	79839
147	46701	79518
148	47129	79392
149	47470	79117
150	47789	78804
151	48110	78495
152	48433	78190
153	48688	77775
154	48945	77365
155	49201	76956
156	49478	76581
157	49753	76204
158	50007	75797
159	50287	75430
160	50589	75098
161	51022	74959
162	51390	74720
163	51723	74431
164	52004	74066
165	52264	73674
166	52636	73439
167	52965	73142
168	53295	72847
169	53696	72648
170	53949	72247
171	54253	71917
172	54528	71549
173	54840	71229
174	55265	71056
175	55585	70745
176	55949	70490
177	56264	70172
178	56572	69846
179	56899	69543
180	57233	69249
181	57525	68903
182	57904	68663
183	58260	68392
184	58657	68169
185	59018	67903
186	59347	67598
187	59617	67228
188	59986	66968
189	60259	66602
190	60629	66343
191	60921	65998
192	61191	65629
193	61494	65297
194	61788	64957
195	62090	64625
196	62387	64288
197	62731	63999
198	63020	63653
199	63293	63293
200	63654	63020
201	63913	62648
202	64170	62273
203	64456	61928
204	64667	61512
205	64899	61118
206	65120	60715
207	65321	60296
208	65542	59897
209	65739	59478
210	65944	59068
211	66209	58714
212	66506	58388
213	66776	58039
214	67190	57815
215	67571	57560
216	67856	57224
217	68132	56881
218	68333	56476
219	68554	56090
220	68766	55698
221	68951	55285
222	69158	54892
223	69406	54534
224	69644	54167
225	69863	53788
226	70133	53449
227	70340	53064
228	70680	52778
229	70908	52410
230	71073	51997
231	71323	51647
232	71552	51284
233	71738	50891
234	71943	50513
235	72144	50134
236	72334	49748
237	72536	49373
238	72745	49004
239	72989	48659
240	73244	48323
241	73491	47982
242	73689	47610
243	73876	47232
244	74075	46864
245	74250	46482
246	74419	46097
247	74594	45719
248	74783	45350
249	74989	44993
250	75193	44636
251	75401	44283
252	75661	43961
253	75941	43651
254	76148	43299
255	76436	42995
256	76830	42749
257	77466	42636
258	77901	42409
259	78129	42069
260	78325	41713
261	78485	41339
262	78624	40956
263	78753	40569
264	78870	40179
265	78983	39788
266	79113	39408
267	79245	39031
268	79358	38646
269	79470	38263
270	79583	37883
271	79692	37502
272	79797	37121
273	79936	36758
274	80069	36395
275	80179	36022
276	80291	35652
277	80389	35278
278	80480	34903
279	80577	34533
280	80676	34165
281	80768	33796
282	80868	33433
283	80951	33064
284	81036	32698
285	81167	32353
286	81303	32011
287	81467	31681
288	81642	31357
289	81793	31025
290	81952	30696
291	82163	30389
292	82366	30079
293	82534	29757
294	82678	29427
295	82787	29087
296	82909	28753
297	83037	28422
298	83171	28094
299	83322	27774
300	83483	27458
301	83648	27144
302	83776	26819
303	83917	26500
304	84200	26226
305	84360	25914
306	84492	25595
307	84618	25275
308	84734	24954
309	84848	24633
310	85012	24328
311	85198	24030
312	85493	23763
313	85691	23469
314	85858	23168
315	86013	22864
316	86158	22558
317	86272	22246
318	86375	21932
319	86484	21621
320	86611	21315
321	86826	21032
322	87025	20746
323	87259	20468
324	87563	20206
325	87786	19927
326	87999	19645
327	88166	19353
328	88378	19072
329	88611	18796
330	88821	18515
331	88994	18227
332	89193	17945
333	89428	17671
334	89614	17387
335	89821	17108
336	90052	16834
337	90259	16556
338	90495	16283
339	90694	16004
340	90892	15726
341	91039	15439
342	91201	15155
343	91378	14875
344	91549	14594
345	91861	14336
346	92077	14063
347	92264	13786
348	92457	13510
349	92646	13235
350	92857	12962
351	93065	12690
352	93260	12417
353	93481	12147
354	93767	11885
355	94183	11640
356	94420	11372
357	94624	11101
358	94788	10825
359	94983	10553
360	95221	10287
361	95593	10034
362	95800	9764
363	95977	9492
364	96185	9223
365	96416	8956
366	96622	8688
367	96843	8421
368	97038	8152
369	97281	7887
370	97463	7618
371	97650	7350
372	97826	7081
373	98113	6820
374	98306	6553
375	98470	6285
376	98641	6017
377	98807	5750
378	98984	5484
379	99165	5219
380	99333	4953
381	99504	4688
382	99685	4424
383	99865	4161
384	100035	3897
385	100207	3634
386	100375	3371
387	100582	3110
388	100790	2850
389	100969	2588
390	101196	2329
391	101355	2068
392	101650	1810
393	101816	1550
394	101979	1290
395	102146	1031
396	102311	773
397	102500	515
398	102649	257
399	102800	0
