feature,lgb_importance,xgb_importance
dest_daily_sched_flights,2354,0.01830124
origin_daily_sched_flights,2344,0.018449208
turnaround_buffer_min,1816,0.07943191
carrier_origin_flights_today,1721,0.0149094695
carrier_origin_market_share,1219,0.012051823
hist_delay_rate_route,1181,0.05599335
hist_delay_rate_ORIGIN_x_sched_dep_hour,1012,0.10805863
hist_delay_rate_OP_UNIQUE_CARRIER_x_ORIGIN,941,0.026602428
dow_sin,938,0.030330246
hist_delay_rate_ORIGIN,903,0.019049887
sched_dep_time_min,850,0.0116975205
hist_delay_rate_OP_UNIQUE_CARRIER_x_sched_dep_hour,842,0.039191406
hist_delay_rate_DEST,841,0.015059035
sched_speed_proxy,800,0.008653051
sched_elapsed_time,799,0.008986488
hist_delay_rate_OP_UNIQUE_CARRIER,769,0.018601162
dow_cos,741,0.038254544
origin_hourly_sched_flights,716,0.008799144
sched_arr_time_min,682,0.009416591
sched_arr_minute,583,0.006031281
sched_dep_minute,551,0.006686697
distance,534,0.0103961835
tail_prev_dest_matches_origin,421,0.055567183
tail_flight_seq_today,405,0.009107816
dep_hour_cos,220,0.009853639
sched_arr_hour,147,0.008541927
dep_hour_sin,129,0.0075455327
is_weekend,126,0.020412195
sched_dep_hour,80,0.008888504
is_tight_turnaround,63,0.037169814
is_negative_buffer,56,0.25344595
is_long_haul,10,0.01340516
is_short_haul,3,0.008548923
time_bucket,3,0.0025620693
